id,brier,rps,auc,n,lat,lon,pietra,brier_week1,brier_week2,brier_week3,brier_week4,brier_later,auc_week1,auc_week2,auc_week3,auc_week4,auc_later,model,cv_method
Guna Begemider,0.30376689397161755,0.1946874339042837,0.9866863905325444,13,,,,,,,,,,,,,,blended_model,global
Gundwoin town,0.3813883417725401,0.27390574356959313,0.9911242603550295,13,,,,,,,,,,,,,,blended_model,global
Guzamn,0.62569294583086,0.4169781845999367,0.83,10,,,,,,,,,,,,,,blended_model,global
Habro,1.1774306839917448,1.3696799381728308,0.558641975308642,9,,,,,,,,,,,,,,blended_model,global
Habru,0.5485069601884999,0.45647905332318495,0.8596938775510204,14,,,,,,,,,,,,,,blended_model,global
Hagere Mariam,0.34999658827934343,0.25047423355762793,0.9513888888888888,12,,,,,,,,,,,,,,blended_model,global
Hamusit town,0.45282103202946195,0.35116630844101127,0.9304733727810651,13,,,,,,,,,,,,,,blended_model,global
Hara town,0.605725823675802,0.556329743790986,0.8392857142857143,14,,,,,,,,,,,,,,blended_model,global
Harbu town,0.6663037480777317,0.5049942140588024,0.8422222222222222,15,,,,,,,,,,,,,,blended_model,global
Harena Buluk,0.5331958917011416,0.9178391092772071,0.9418714555765595,23,,,,,,,,,,,,,,blended_model,global
Hawi Gudina,0.15959937421516465,0.2179423146279596,1.0,23,,,,,,,,,,,,,,blended_model,global
Heban Arsi,0.7743185683926224,0.6885312934477645,0.7191358024691358,9,,,,,,,,,,,,,,blended_model,global
Hidabu Abote,1.0910344905663587,1.1141765487553799,0.5740740740740741,9,,,,,,,,,,,,,,blended_model,global
Hike town,0.4741095216437025,0.3115625719435594,0.8933333333333333,15,,,,,,,,,,,,,,blended_model,global
Hitosa,0.48355710000624086,0.3041731602233083,0.8788888888888889,15,,,,,,,,,,,,,,blended_model,global
Holeta town,0.7917454634837827,0.7544735022709328,0.7191358024691358,9,,,,,,,,,,,,,,blended_model,global
Hulet Ej Enese,0.3359063763565199,0.2277478041363737,0.9955621301775148,13,,,,,,,,,,,,,,blended_model,global
Ifata,0.6450066618567901,0.3253611154715693,0.835,10,,,,,,,,,,,,,,blended_model,global
Illu Galan,0.6336059286344206,0.33992568495514935,0.8680555555555556,6,,,,,,,,,,,,,,blended_model,global
Ilu,0.4018439134752709,0.2406675608486846,0.9444444444444444,12,,,,,,,,,,,,,,blended_model,global
Inkolo Wabe,0.536951571922677,0.48367061000131195,0.841715976331361,13,,,,,,,,,,,,,,blended_model,global
Jabi Tehnan,0.7832907902013845,0.5176770967439104,0.7275,10,,,,,,,,,,,,,,blended_model,global
Jama,0.5825832003645931,0.521399852737659,0.871301775147929,13,,,,,,,,,,,,,,blended_model,global
Janamora,0.41279138872054316,0.4114312467509543,0.9112426035502958,13,,,,,,,,,,,,,,blended_model,global
Jeju,0.354785378302512,0.23270338169208604,0.9384765625,16,,,,,,,,,,,,,,blended_model,global
Jeldu,0.5703582301749922,0.4306732776116997,0.845679012345679,9,,,,,,,,,,,,,,blended_model,global
Jibat,0.6078444078338612,0.3325098370699792,0.8958333333333334,6,,,,,,,,,,,,,,blended_model,global
Jida,0.23421547267136528,0.13392272872299976,0.992603550295858,13,,,,,,,,,,,,,,blended_model,global
Jiga town,0.5996591875157564,0.4091452238382953,0.8117283950617284,9,,,,,,,,,,,,,,blended_model,global
Kalu,0.5625022709172626,0.44403321614569136,0.8544444444444445,15,,,,,,,,,,,,,,blended_model,global
Kelala town,0.5691871171785978,0.5090100060063063,0.8727810650887574,13,,,,,,,,,,,,,,blended_model,global
Kelela,0.5255795508250951,0.45399258160262956,0.886094674556213,13,,,,,,,,,,,,,,blended_model,global
Kersana Malima,0.8834252012198249,0.9031739585751097,0.6358024691358025,9,,,,,,,,,,,,,,blended_model,global
Kewet,0.7219755553204154,0.7935462515367149,0.8032544378698225,13,,,,,,,,,,,,,,blended_model,global
Kimbibit,0.27934536526281556,0.17770177196923045,0.9791666666666666,12,,,,,,,,,,,,,,blended_model,global
Kinfaz Begela,0.426146480259551,0.3137741150751813,0.915680473372781,13,,,,,,,,,,,,,,blended_model,global
Kobo town,0.26081897155928446,0.16931929268786744,0.9667590027700831,19,,,,,,,,,,,,,,blended_model,global
